Date,Source Gas/Oil Price Name,Argent Gas/Oil Category,Argent Gas/Oil Price Name,Price EUR/mt
08/01/2022,RED SAF (sustainable aviation fuel) fob ARA range USD/t_midpoint,,,3285
08/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint,,,1322.335
08/01/2022,Soybean oil Argentina waterborne fob upriver USD/t month_midpoint_calc,Feedstocks,SBO fob Argentina,1194.926386
08/01/2022,Tallow (categories 1 & 2) fca northwest Europe EUR/t_midpoint,Feedstocks,Tallow Cat 1&2,920
08/01/2022,UCO (used cooking oil) cif ARA USD/t_midpoint,Feedstocks,UCO cif ARA,1207.793353
08/01/2022,UCO (used cooking oil) fob China_midpoint,Feedstocks,UCO fob China,1053.51318
08/01/2022,UCO (used cooking oil) RED bulk China fob_midpoint,Feedstocks,UCO bulk fob China,1119.633254
09/01/2022,Biodiesel FAME 0C CFPP RED ARA range barge fob_midpoint,Biodiesel,FAME 0 fob ARA,1392.047959
09/01/2022,Biodiesel Palm OME RED ARA range barge fob_midpoint,Biodiesel,PME fob ARA,1255.399806
09/01/2022,Biodiesel Rapeseed OME RED ARA range barge fob_midpoint,Biodiesel,RME fob ARA,1881.336507
09/01/2022,Biodiesel SME Argentina waterborne fob upriver_midpoint,Biodiesel,SME fob Argentina,1287.110994
09/01/2022,Biodiesel tallow OME RED ARA range barge fob_midpoint,Biodiesel,TME fob ARA,1682.606013
09/01/2022,Biodiesel UCOME (used cooking oil) RED ARA range barge fob_midpoint,Biodiesel,UCOME fob ARA,1713.462047
09/01/2022,Biodiesel UCOME (used cooking oil) RED bulk China fob_midpoint,Biodiesel,UCOME bulk fob China,1437.009609
09/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff high,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff high,38.86978753
